source,name,n,capacity,bf_time,dp_time,gr_time,bf_val,dp_val,gr_val,gr_ratio
jooken,jooken/n_800_c_1000000_g_2_f_0.3_eps_0.001_s_100,800,1000000,,42.66096108399506,0.0001442500069970265,,513559,513557,0.999996105608119
jooken,jooken/n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_200,1000,10000000000,,,0.0001797500008251518,,,9996782102,
jooken,jooken/n_1000_c_10000000000_g_10_f_0.1_eps_0.1_s_200,1000,10000000000,,,0.00018420799460727721,,,9507823943,
jooken,jooken/n_1000_c_10000000000_g_10_f_0.3_eps_0.0001_s_200,1000,10000000000,,,0.00019358300778549165,,,9979800548,
jooken,jooken/n_1000_c_10000000000_g_2_f_0.1_eps_0.1_s_200,1000,10000000000,,,0.0001812919945223257,,,6000010195,
jooken,jooken/n_1000_c_10000000000_g_2_f_0.3_eps_0.001_s_200,1000,10000000000,,,0.00019458400493022054,,,5010031030,
jooken,jooken/n_1000_c_10000000000_g_2_f_0.3_eps_0.001_s_300,1000,10000000000,,,0.0001913330052047968,,,5010044845,
jooken,jooken/n_1000_c_10000000000_g_2_f_0.3_eps_0.1_s_300,1000,10000000000,,,0.0001907499972730875,,,6000043420,
jooken,jooken/n_1000_c_10000000000_g_6_f_0.1_eps_0_s_300,1000,10000000000,,,0.0001833749993238598,,,9687521596,
jooken,jooken/n_1000_c_10000000000_g_6_f_0.3_eps_0.001_s_100,1000,10000000000,,,0.0001888330007204786,,,9927516322,
jooken,jooken/n_1000_c_100000000_g_2_f_0.3_eps_0_s_200,1000,100000000,,,0.00018137501319870353,,,50030349,
jooken,jooken/n_1000_c_1000000_g_10_f_0.1_eps_0_s_200,1000,1000000,,73.9845123749983,0.0001807089865906164,,1016126,1016104,0.9999783491417403
jooken,jooken/n_1000_c_1000000_g_10_f_0.2_eps_1e-05_s_300,1000,1000000,,75.46827274998941,0.00017499999376013875,,1025389,1025363,0.9999746437693402
jooken,jooken/n_1000_c_1000000_g_14_f_0.2_eps_0_s_100,1000,1000000,,77.63374387500517,0.00017791599384509027,,1012041,1012029,0.9999881427728718
jooken,jooken/n_1000_c_1000000_g_6_f_0.2_eps_0_s_300,1000,1000000,,70.25587866701244,0.00018787500448524952,,1004565,1003721,0.9991598353516199
jooken,jooken/n_1000_c_1000000_g_6_f_0.3_eps_0_s_100,1000,1000000,,71.56035191701085,0.00018970899691339582,,986959,986677,0.9997142738452155
jooken,jooken/n_1200_c_10000000000_g_10_f_0.1_eps_0.1_s_200,1200,10000000000,,,0.000226040996494703,,,9722668948,
jooken,jooken/n_1200_c_10000000000_g_14_f_0.2_eps_0_s_100,1200,10000000000,,,0.00022554100723937154,,,9998809849,
jooken,jooken/n_1200_c_10000000000_g_2_f_0.2_eps_0_s_100,1200,10000000000,,,0.00022154200996737927,,,5000012883,
jooken,jooken/n_1200_c_10000000000_g_2_f_0.3_eps_0.001_s_300,1200,10000000000,,,0.000222250004298985,,,5010053402,
jooken,jooken/n_1200_c_10000000000_g_6_f_0.2_eps_0.0001_s_300,1200,10000000000,,,0.0002196669956902042,,,9717541599,
jooken,jooken/n_1200_c_100000000_g_10_f_0.1_eps_0.001_s_200,1200,100000000,,,0.00020554200455080718,,,99808262,
jooken,jooken/n_1200_c_100000000_g_10_f_0.1_eps_0_s_100,1200,100000000,,,0.0002153329987777397,,,99822551,
jooken,jooken/n_1200_c_100000000_g_10_f_0.2_eps_0.1_s_200,1200,100000000,,,0.0002195000124629587,,,93931811,
jooken,jooken/n_1200_c_100000000_g_10_f_0.3_eps_0.0001_s_200,1200,100000000,,,0.0002207080106018111,,,99943193,
jooken,jooken/n_1200_c_100000000_g_14_f_0.3_eps_0.1_s_200,1200,100000000,,,0.0002224589989054948,,,92100883,
jooken,jooken/n_1200_c_100000000_g_14_f_0.3_eps_0_s_200,1200,100000000,,,0.00021791699691675603,,,100027524,
